Czas; Temperatura
656; 6 000
657; 0
658; 6 000
659; 0
660; 6 000
661; 0
662; 6 000
663; 0
664; 6 000
665; 0
666; 6 000
667; 0
668; 6 000
669; 0
670; 6 000
671; 0
672; 6 000
673; 0
674; 6 000
675; 0
676; 6 000
677; 0
678; 6 000
679; 0
680; 6 000
681; 0
682; 6 000
683; 0
684; 6 000
685; 0
686; 6 000
687; 0
688; 6 000
689; 0
690; 6 000
691; 0
692; 6 000
693; 0
694; 6 000
695; 0
696; 6 000
697; 0
698; 6 000
699; 0
700; 6 000
701; 0
702; 6 000
703; 0
704; 6 000
705; 0
706; 6 000
707; 0
708; 6 000
709; 0
710; 6 000
711; 0
712; 6 000
713; 0
714; 6 000
715; 0
716; 6 000
717; 0
718; 6 000
719; 0
720; 6 000
721; 0
722; 6 000
723; 0
724; 6 000
725; 0
726; 6 000
727; 0
728; 6 000
729; 0
730; 6 000
731; 0
732; 6 000
733; 0
734; 6 000
735; 0
736; 6 000
737; 0
738; 6 000
739; 0
740; 6 000
741; 0
742; 6 000
743; 0
744; 6 000
745; 0
746; 6 000
747; 0
748; 6 000
749; 0
750; 6 000
751; 0
752; 6 000
753; 0
754; 6 000
755; 0
756; 6 000
757; 0
758; 6 000
759; 0
760; 6 000
761; 0
762; 6 000
763; 0
764; 6 000
765; 0
766; 6 000
767; 0
768; 6 000
769; 0
770; 6 000
771; 0
772; 6 000
773; 0
774; 6 000
775; 0
776; 6 000
777; 0
778; 6 000
779; 0
780; 6 000
781; 0
782; 6 000
783; 0
784; 6 000
785; 0
786; 6 000
787; 0
788; 6 000
789; 0
790; 6 000
791; 0
792; 6 000
793; 0
794; 6 000
795; 0
796; 6 000
797; 0
798; 6 000
799; 0
800; 6 000
801; 0
802; 6 000
803; 0
804; 6 000
805; 0
806; 6 000
807; 0
808; 6 000
809; 0
810; 6 000
811; 0
812; 6 000
813; 0
814; 6 000
815; 0
816; 6 000
817; 0
818; 6 000
819; 0
820; 6 000
821; 0
822; 6 000
823; 0
824; 6 000
825; 0
826; 6 000
827; 0
828; 6 000
829; 0
830; 6 000
831; 0
832; 6 000
833; 0
834; 6 000
835; 0
836; 6 000
837; 0
838; 6 000
839; 0
840; 6 000
841; 0
842; 6 000
843; 0
844; 6 000
845; 0
846; 6 000
847; 0
848; 6 000
849; 0
850; 6 000
851; 0
852; 6 000
853; 0
854; 6 000
855; 0
856; 6 000
857; 0
858; 6 000
859; 0
860; 6 000
861; 0
862; 6 000
863; 0
864; 6 000
865; 0
866; 6 000
867; 0
868; 6 000
869; 0
870; 6 000
871; 0
872; 6 000
873; 0
874; 6 000
875; 0
876; 6 000
877; 0
878; 6 000
879; 0
880; 6 000
881; 0
882; 6 000
883; 0
884; 6 000
885; 0
886; 6 000
887; 0
888; 6 000
889; 0
890; 6 000
891; 0
